question,company,year,expected_section,gold_answer,answer_type
Compare Alphabet's Google advertising revenues between FY2023 and FY2024.,GOOGL,,Financial Statements,"Google advertising revenues grew from $237.9 billion (FY2023) to $264.6 billion (FY2024), about +11%.",comparative
Compare Tesla's Item 1A risk disclosures between its FY2023 and FY2024 10-Ks.,TSLA,,Risk Factors,FY2024 emphasizes intensifying EV competition (legacy and Chinese OEMs) and pricing/margin pressure; FY2023 weighted more to production ramp and supply-chain constraints.,comparative
Compare Microsoft's Intelligent Cloud segment revenue between FY2023 and FY2024.,MSFT,,Financial Statements,"Intelligent Cloud segment revenue grew from $87.9 billion (FY2023) to $105.4 billion (FY2024), about +20%, driven by Azure.",comparative
What near-term priorities does Apple's FY2024 MD&A emphasize?,AAPL,2024,MD&A,"Apple's FY2024 MD&A emphasizes continued R&D and product/AI innovation, Services growth, and capital return; no formal forward guidance is provided in the 10-K.",descriptive
What does Tesla's FY2024 MD&A say about future product plans?,TSLA,2024,MD&A,"Tesla discusses new more-affordable vehicle models, Cybertruck ramp, autonomy/Robotaxi ambitions, and growth in energy storage (Megapack/Powerwall) and Supercharging.",descriptive
What does Microsoft's FY2024 MD&A say about the AI opportunity?,MSFT,2024,MD&A,"Management frames Copilot across the product suite and Azure AI services as major growth drivers, with continued significant investment in cloud infrastructure and data-center capacity.",descriptive
What does Amazon's FY2024 MD&A say about profitability drivers?,AMZN,2024,MD&A,"Operating income surged to $68.6 billion in 2024 (+86%), driven by AWS margin expansion and improved operating leverage in North America, plus broader cost discipline.",descriptive
What cybersecurity risks and governance did Apple disclose in its FY2024 10-K (Item 1A/1C)?,AAPL,2024,Risk Factors,"Apple discloses risks from breaches of systems, services and customer data; Item 1C describes a cybersecurity risk-management program with board and management oversight.",risk
What regulatory risks did Alphabet disclose in its FY2024 10-K (Item 1A)?,GOOGL,2024,Risk Factors,"Ongoing antitrust litigation (DOJ cases on search distribution and ad-tech, with potential remedies), EU DMA/DSA and global regulation; risk of fines or forced business changes.",risk
What does Tesla's FY2024 10-K disclose about its energy storage business?,TSLA,2024,Business,Tesla designs/sells Megapack (utility-scale) and Powerwall (residential); energy generation and storage revenue grew to $10.1 billion in 2024 from $6.0 billion in 2023.,descriptive
