pipeline,question,company,year,answer_type,expected_section,gold_answer,generated_answer,response_time_sec,retry_used,avg_similarity,top_similarity,retrieved_chunks,retrieved_sections,section_accuracy,citations_present,citation_count,years_coverage_ok,numeric_present,overall_valid,error
agentic,What geopolitical risks did Tesla mention in 2024?,TSLA,2024,risk,Risk Factors,Tesla disclosed risks from US-China trade tensions and potential tariffs on goods manufactured in or imported from China.,,11.75,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99934, Requested 967. Please try again in 12m58.464s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What are Microsoft's AI-related risks in 2024?,MSFT,2024,risk,Risk Factors,Microsoft cited risks around AI accuracy and potential for generating harmful content as well as reputational and legal risks tied to its AI products.,No relevant documents found.,0.72,False,0,0,0,,False,False,0,True,True,,
agentic,What are Microsoft's AI-related risks in 2024?,MSFT,2024,risk,Risk Factors,Microsoft cited risks around AI accuracy and potential for generating harmful content as well as reputational and legal risks tied to its AI products.,,0.8,False,0.0,0.0,0,,False,False,0,False,False,False,'NoneType' object has no attribute 'get'
baseline,What are Apple's main business segments?,AAPL,2024,descriptive,Business,Apple operates through product segments including iPhone Mac iPad Wearables Home and Accessories and a Services segment.,,0.74,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99932, Requested 1098. Please try again in 14m49.92s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What are Apple's main business segments?,AAPL,2024,descriptive,Business,Apple operates through product segments including iPhone Mac iPad Wearables Home and Accessories and a Services segment.,,20.97,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99907, Requested 1143. Please try again in 15m7.2s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What does Tesla describe as its mission?,TSLA,2024,descriptive,Business,Tesla describes its mission as accelerating the world's transition to sustainable energy.,,0.77,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99906, Requested 1064. Please try again in 13m58.08s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What does Tesla describe as its mission?,TSLA,2024,descriptive,Business,Tesla describes its mission as accelerating the world's transition to sustainable energy.,,22.8,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99880, Requested 1115. Please try again in 14m19.68s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What are Microsoft's primary business segments?,MSFT,2024,descriptive,Business,"Microsoft organizes its business into Productivity and Business Processes, Intelligent Cloud, and More Personal Computing segments.",,0.85,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99879, Requested 1112. Please try again in 14m16.224s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What are Microsoft's primary business segments?,MSFT,2024,descriptive,Business,"Microsoft organizes its business into Productivity and Business Processes, Intelligent Cloud, and More Personal Computing segments.",,22.4,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99853, Requested 979. Please try again in 11m58.848s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,How does Amazon describe its AWS business?,AMZN,2024,descriptive,Business,Amazon describes AWS as a comprehensive on-demand cloud computing platform offering compute storage database and other services.,,0.72,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99852, Requested 900. Please try again in 10m49.728s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,How does Amazon describe its AWS business?,AMZN,2024,descriptive,Business,Amazon describes AWS as a comprehensive on-demand cloud computing platform offering compute storage database and other services.,,1.01,False,0.0,0.0,0,,False,False,0,False,False,False,'NoneType' object has no attribute 'get'
baseline,What is Alphabet's primary source of revenue?,GOOGL,2024,descriptive,Business,Alphabet's primary revenue source is Google advertising which includes Google Search and YouTube advertising.,,0.81,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99850, Requested 1373. Please try again in 17m36.672s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What is Alphabet's primary source of revenue?,GOOGL,2024,descriptive,Business,Alphabet's primary revenue source is Google advertising which includes Google Search and YouTube advertising.,,19.16,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99828, Requested 1267. Please try again in 15m46.079999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What properties does Apple own or lease for operations?,AAPL,2024,descriptive,Business,"Apple owns and leases approximately 31.4 million square feet of space globally, including its corporate campus Apple Park in Cupertino, California.",,0.69,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99827, Requested 1246. Please try again in 15m27.072s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What properties does Apple own or lease for operations?,AAPL,2024,descriptive,Business,"Apple owns and leases approximately 31.4 million square feet of space globally, including its corporate campus Apple Park in Cupertino, California.",,20.54,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99803, Requested 1130. Please try again in 13m26.112s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
baseline,What is Apple's strategy for the services business?,AAPL,2024,descriptive,MD&A,Apple's MD&A describes its strategy of growing high-margin services revenue through the App Store Apple Music iCloud and Apple TV+ to reduce reliance on hardware cycles.,,0.79,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99803, Requested 943. Please try again in 10m44.544s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
agentic,What is Apple's strategy for the services business?,AAPL,2024,descriptive,MD&A,Apple's MD&A describes its strategy of growing high-margin services revenue through the App Store Apple Music iCloud and Apple TV+ to reduce reliance on hardware cycles.,,21.73,False,0.0,0.0,0,,False,False,0,False,False,False,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01ksavcgt8emfshnh6jdbcgrzm` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99777, Requested 1105. Please try again in 12m42.048s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
